Username,Emotion,Date,Time
aa,User under pressure,13-05-2022,13:35:15
,,,
aa,User under pressure,13-05-2022,13:35:15
,,,
aa,Happy User,13-05-2022,13:35:15
,,,
aa,User under pressure,13-05-2022,13:35:32
,,,
aa,User under pressure,13-05-2022,13:35:32
,,,
aa,Happy User,13-05-2022,13:35:32
,,,
aa,User under pressure,13-05-2022,13:35:35
,,,
aa,User under pressure,13-05-2022,13:35:35
,,,
aa,Happy User,13-05-2022,13:35:35
,,,
aa,User under pressure,13-05-2022,13:35:38
,,,
aa,User under pressure,13-05-2022,13:35:38
,,,
aa,Happy User,13-05-2022,13:35:38
,,,
aa,User under pressure,13-05-2022,13:39:52
,,,
aa,User under pressure,13-05-2022,13:39:52
,,,
aa,Happy User,13-05-2022,13:39:52
,,,
aa,User under pressure,13-05-2022,13:40:00
,,,
aa,User under pressure,13-05-2022,13:40:00
,,,
aa,Happy User,13-05-2022,13:40:00
,,,
aa,User under pressure,13-05-2022,13:40:02
,,,
aa,User under pressure,13-05-2022,13:40:02
,,,
aa,Happy User,13-05-2022,13:40:02
,,,
aa,User under pressure,13-05-2022,13:40:06
,,,
aa,User under pressure,13-05-2022,13:40:06
,,,
aa,Happy User,13-05-2022,13:40:06
,,,
Praj,User under pressure,28-04-2023,22:15:20
,,,
Praj,User under pressure,28-04-2023,22:15:20
,,,
Praj,Happy User,28-04-2023,22:15:20
,,,
Praj,User under pressure,28-04-2023,22:29:35
,,,
Praj,User under pressure,28-04-2023,22:29:35
,,,
Praj,Happy User,28-04-2023,22:29:35
,,,
Praj,User under pressure,28-04-2023,22:29:37
,,,
Praj,User under pressure,28-04-2023,22:29:37
,,,
Praj,Happy User,28-04-2023,22:29:37
,,,
Praj,User under pressure,28-04-2023,22:29:42
,,,
Praj,User under pressure,28-04-2023,22:29:42
,,,
Praj,Happy User,28-04-2023,22:29:42
,,,
Praj,User under pressure,28-04-2023,22:29:49
,,,
Praj,User under pressure,28-04-2023,22:29:49
,,,
Praj,Happy User,28-04-2023,22:29:49
